GLG_Player,GLG_Tm,GLG_Age,GLG_G,GLG_MP,GLG_PER,GLG_TS%,GLG_3PAr,GLG_FTr,GLG_ORB%,GLG_DRB%,GLG_TRB%,GLG_AST%,GLG_STL%,GLG_BLK%,GLG_TOV%,GLG_USG%,GLG_Ws-dum,GLG_OWS,GLG_DWS,GLG_WS,GLG_WS/48,GLG_Bpm-dum,GLG_OBPM,GLG_DBPM,GLG_BPM,GLG_VORP
Andre Dawkin,WC,25,14,303,10.4,0.523,0.672,0.144,1.4,6.4,3.9,7.4,1.0,0.0,6.3,19.9,,0.2,0.2,0.3,0.054,,,,,
Branden Dawso,ER,23,33,877,18.2,0.503,0.010,0.234,11.7,18.0,14.8,10.6,3.1,2.0,12.8,24.2,,0.0,1.3,1.3,0.071,,,,,
Eric Dawso,SL,32,2,51,10.6,0.444,0.000,0.500,10.2,32.3,20.9,8.5,2.9,3.2,29.1,17.5,,-0.1,0.1,0.0,0.003,,,,,
Coreontae DeBerr,WC,22,12,113,9.3,0.496,0.000,0.429,8.3,17.1,12.7,6.2,1.7,2.9,19.4,15.6,,-0.1,0.2,0.1,0.042,,,,,
Deng Den,TE,25,3,28,7.7,0.366,0.125,0.250,15.0,30.6,22.7,9.8,0.0,2.8,14.5,30.1,,-0.1,0.0,-0.1,-0.117,,,,,
Troy Devrie,LO,34,48,1139,11.6,0.582,0.613,0.136,1.2,7.7,4.5,10.2,1.5,0.3,11.4,17.1,,1.2,0.4,1.6,0.068,,,,,
Cheick Diall,LI,20,2,35,20.6,0.640,0.000,0.235,2.9,25.2,13.5,5.4,1.3,4.3,9.6,23.9,,0.1,0.1,0.1,0.148,,,,,
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Cheick Diall,TOT,20,26,724,18.6,0.533,0.012,0.219,7.2,26.2,16.8,4.4,0.9,7.1,10.5,24.3,,0.3,1.1,1.3,0.087,,,,,
Cheick Diall,AU,20,9,210,19.3,0.538,0.011,0.207,8.6,19.9,14.5,3.3,1.2,7.4,9.1,23.2,,0.2,0.3,0.5,0.116,,,,,
Cheick Diall,SW,20,15,479,18.2,0.522,0.013,0.223,6.9,29.0,18.0,4.9,0.8,7.1,11.2,24.8,,0.0,0.7,0.7,0.070,,,,,
Spencer Dinwiddi,WC,23,9,337,20.7,0.600,0.244,0.513,0.9,9.6,5.2,32.8,2.9,1.2,14.6,21.6,,0.9,0.4,1.3,0.190,,,,,
Quincy Doub,WE,32,2,34,4.5,0.324,0.385,0.154,0.0,3.4,1.6,12.0,4.3,0.0,6.7,18.7,,-0.1,0.0,0.0,-0.069,,,,,
Larry Dre,SF,26,10,237,13.1,0.595,0.538,0.108,1.8,10.2,6.0,34.4,1.4,0.3,24.4,15.5,,0.3,0.2,0.5,0.103,,,,,
Terrence Drisdo,SA,24,43,770,12.6,0.533,0.239,0.255,4.9,15.1,10.2,10.8,1.9,2.4,11.7,12.6,,0.7,1.1,1.8,0.113,,,,,
Duje Duka,WC,25,25,530,12.5,0.575,0.517,0.372,4.9,12.2,8.5,5.5,0.8,0.3,9.9,18.7,,0.7,0.4,1.1,0.098,,,,,
Kellen Dunha,IO,23,35,598,8.2,0.555,0.576,0.146,1.9,10.3,6.1,5.1,1.4,0.8,16.4,13.0,,0.0,0.4,0.4,0.030,,,,,
Michael Duniga,CA,27,39,653,14.8,0.502,0.008,0.523,9.6,16.4,13.0,4.0,2.5,5.5,12.6,21.5,,0.2,1.1,1.3,0.098,,,,,
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Cleanthony Earl,SA,25,14,248,18.2,0.579,0.286,0.343,6.3,17.6,12.1,6.5,1.5,4.3,11.0,22.9,,0.3,0.4,0.7,0.135,,,,,
Jarell Eddi,TOT,25,45,1273,14.6,0.607,0.569,0.180,2.3,12.7,7.6,8.5,1.0,1.1,13.0,20.4,,1.5,1.0,2.6,0.097,,,,,
Jarell Eddi,AU,25,25,672,10.4,0.556,0.598,0.210,2.3,12.0,7.4,6.5,1.2,0.8,16.9,19.7,,-0.1,0.5,0.4,0.031,,,,,
Jarell Eddi,WC,25,20,601,19.2,0.655,0.543,0.154,2.3,13.6,7.9,10.8,0.8,1.5,9.1,21.1,,1.6,0.5,2.1,0.171,,,,,
Arthur Edward,MA,24,47,967,11.4,0.553,0.628,0.253,3.2,15.8,9.8,9.2,2.0,2.6,19.6,18.1,,-0.3,1.4,1.1,0.056,,,,,
